订阅额度总览 · 套餐 × 实际服务模型
默认月 = 4 周，Kimi独立月池 = 周池×5；饱和使用；全口径 token；按量 API 无月额度
同套餐各模型额度不可相加。Claude Max (9/14+)：2026-09-14起永久额度估算，非当前活动期上限。数据：adopted.csv。
颜色 = 套餐/API 提供方；置信度 [H] 高 / [M] 中 / [L] 低；编号为排序序号，同值依次列出，不代表模型能力排名。
† Kimi：¥199的K3点以K3-256K为主，约84%反推周池×5得14.51亿；K2.7纯样本11.9M/月0.76%得15.68亿；其余档按官方倍率推算；同名档国内外并点，月费/单价按国际版美元标价（$19/$39/$99），¥价为国内实付。OpenCode Go按官方美元池和三段价套统一标准负载换算。
汇率：1 USD = 6.7787 CNY（2026-09-04，中国外汇交易中心中间价，新华社转载）；人民币月费 ÷ 汇率换算美元（Kimi 同名并点档除外，按国际版美元标价）。
汇率来源：https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html
序号  套餐                               价格/月            服务模型                    月额度(亿)  $/MTok   置信度
59    GLM Coding Max (v3 ¥1078) 闲时     CNY 1078           GLM 5.3                     59.26       0.02684  high
60    GLM Coding Max (v2 ¥469) 闲时      CNY 469            GLM 5.3                     59.26       0.01168  high
61    GLM Coding Pro (v3 ¥538) 中间值    CNY 538            GLM 5.3 Flash               57.74       0.01375  high
62    GLM Coding Pro (v2 ¥149) 中间值    CNY 149            GLM 5.3 Flash               57.74       0.00381  high
63    Step Plan Pro (¥199)               CNY 199            Step 5 Preview              57.43       0.00511  medium
64    Cursor Pro+ (Standard)             USD 60             Composer 2.5                53.047      0.01131  low
65    MiniMax Token Plan Max (Global)    USD 55             MiniMax M3                  51          0.01078  high
66    SuperGrok Heavy                    USD 300            Grok 4.6                    50.9        0.05894  medium
67    SuperGrok Heavy                    USD 300            Grok 4.5                    50.9        0.05894  medium
68    Command Code GOAT                  USD 10             DeepSeek V4.1 Flash         48.485      0.00206  medium
69    Kimi 会员 699 (v1) †               ¥699（国际 $99）   Kimi K2.7 Code              47.04       0.02105  medium
70    Claude Pro                         USD 20             Claude Sonnet 5             46.95       0.00426  medium
71    Command Code GOAT                  USD 10             MiMo V2.5                   44.643      0.00224  medium
72    Command Code GOAT                  USD 10             MiMo V2.6 Flash             44.643      0.00224  medium
73    GLM Coding Max (v3 ¥1078) 中间值   CNY 1078           GLM 5.3                     44.45       0.03578  high
74    GLM Coding Max (v2 ¥469) 中间值    CNY 469            GLM 5.3                     44.45       0.01557  high
75    Kimi 会员 699 (v1) †               ¥699（国际 $99）   Kimi K3                     43.53       0.02274  medium
76    Ollama Max                         USD 100            MiniMax M2.7                43.384      0.02305  medium
77    Ollama Pro                         USD 20             DeepSeek V4 Flash           43.274      0.00462  medium
78    MiMo Token Plan Pro 夜间0.8×       ¥329（国际 $50）   MiMo V2.6 Pro               43.23       0.01157  medium
79    MiMo Token Plan Pro 夜间0.8×       ¥329（国际 $50）   MiMo V2.5 Pro               43.23       0.01157  medium
80    Command Code GOAT                  USD 10             Muse Spark 1.3 Contributor  41.667      0.0024   medium
81    Command Code GOAT                  USD 10             Muse Spark 1.2 Contributor  41.667      0.0024   medium
82    GLM Coding Pro (v3 ¥538) 忙时      CNY 538            GLM 5.3 Flash               38.5        0.02061  high
83    GLM Coding Pro (v2 ¥149) 忙时      CNY 149            GLM 5.3 Flash               38.5        0.00571  high
84    ChatGPT Pro 20x                    USD 200            GPT-6 Astra                 38.12       0.05247  medium
85    OpenCode Go                        USD 10             LongCat 2.0                 36.364      0.00275  medium
86    Claude Pro                         USD 20             Claude Opus 5.5             36.089      0.00554  low
87    Step Plan Plus (¥99)               CNY 99             Step 3.7 Flash              35.117      0.00416  medium
88    MiMo Token Plan Pro 日间           ¥329（国际 $50）   MiMo V2.6 Pro               34.58       0.01446  medium
89    MiMo Token Plan Pro 日间           ¥329（国际 $50）   MiMo V2.5 Pro               34.58       0.01446  medium
90    ChatGPT Pro 5x                     USD 100            GPT 5.6 Sol                 30.8        0.03247  medium
91    Cursor Ultra (Fast)                USD 200            Grok 4.6                    30.74       0.06506  high
92    GLM Coding Max (v3 ¥1078) 忙时     CNY 1078           GLM 5.3                     29.63       0.05367  high
93    GLM Coding Max (v2 ¥469) 忙时      CNY 469            GLM 5.3                     29.63       0.02335  high
94    MiMo Token Plan Standard 夜间0.8×  ¥99（国际 $16）    MiMo V2.6 Flash             28.65       0.00558  medium
95    MiMo Token Plan Standard 夜间0.8×  ¥99（国际 $16）    MiMo V2.5                   28.65       0.00558  medium
96    SuperGrok Plus                     USD 100            Grok 4.7                    26.9        0.03717  medium
97    GLM Coding Pro (v3 ¥538) 闲时      CNY 538            GLM 5.3                     25.4        0.03125  high
98    GLM Coding Pro (v2 ¥149) 闲时      CNY 149            GLM 5.3                     25.4        0.00865  high
99    ChatGPT Pro 5x                     USD 100            GPT 5.5                     24.024      0.04163  medium
100   MiMo Token Plan Standard 日间      ¥99（国际 $16）    MiMo V2.6 Flash             22.92       0.00698  medium
101   MiMo Token Plan Standard 日间      ¥99（国际 $16）    MiMo V2.5                   22.92       0.00698  medium
102   Google AI Pro                      USD 19.99          Gemini 3.8 Flash            22.41       0.00892  high
103   Ollama Max                         USD 100            MiniMax M3                  21.692      0.0461   medium
104   Cursor Pro+                        USD 60             Grok 4.6                    20.632      0.02908  medium
105   SuperGrok Plus                     USD 100            Grok 4.6                    20.4        0.04902  medium
106   GLM Coding Pro (v3 ¥538) 中间值    CNY 538            GLM 5.3                     19.05       0.04166  high
107   GLM Coding Pro (v2 ¥149) 中间值    CNY 149            GLM 5.3                     19.05       0.01154  high
108   Cursor Pro+ (Composer Fast)        USD 60             Composer 2.5                18.823      0.03188  low
109   Claude Pro                         USD 20             Claude Opus 5               18.78       0.01065  high
110   Claude Pro                         USD 20             Claude Opus 4.8             18.78       0.01065  low
111   OpenCode Go                        USD 10             DeepSeek V4.1 Flash         18.182      0.0055   medium
112   MiniMax Token Plan Max             CNY 119            MiniMax M3                  18          0.00975  high
113   Command Code GOAT                  USD 10             Hy3                         17.873      0.0056   medium
114   Ollama Pro                         USD 20             GLM 5.3 Flash               17.531      0.01141  medium
115   Step Plan Mini (¥49)               CNY 49             Step 3.5 Flash              17.475      0.00414  medium
116   Claude Max 20x (9/14+)             USD 200            Claude Fable 5.1            17.28       0.11574  medium
117   MiniMax Token Plan Plus (Global)   USD 22             MiniMax M3                  17          0.01294  high
118   MiniMax Token Plan Plus (Global)   USD 22             MiniMax M2.7                17          0.01294  medium
119   Kimi 会员 199 (v1) †               ¥199（国际 $39）   Kimi K2.7 Code              15.68       0.02487  medium
120   OpenCode Go                        USD 10             Hy3                         15.32       0.00653  medium
121   OpenCode Go                        USD 10             Qwen3.8 Flash               14.656      0.00682  medium
122   Kimi 会员 199 (v1) †               ¥199（国际 $39）   Kimi K3                     14.51       0.02688  medium
123   Ollama Pro                         USD 20             DeepSeek V4 Pro             14.094      0.01419  medium
124   Devin Max                          USD 200            GPT-6 Astra                 14.02       0.14265  high
125   Ollama Max                         USD 100            Kimi K2.7 Code              13.657      0.07322  medium
126   Ollama Max                         USD 100            GLM 5.1                     13.175      0.0759   medium
127   OpenCode Go                        USD 10             Omen Alpha                  13.155      0.0076   medium
128   GLM Coding Lite (v3 ¥118) 闲时     CNY 118            GLM 5.3 Flash               12.83       0.01357  high
129   GLM Coding Lite (v2 ¥49) 闲时      CNY 49             GLM 5.3 Flash               12.83       0.00563  high
130   GLM Coding Pro (v3 ¥538) 忙时      CNY 538            GLM 5.3                     12.7        0.06249  high
131   GLM Coding Pro (v2 ¥149) 忙时      CNY 149            GLM 5.3                     12.7        0.01731  high
132   Command Code GOAT                  USD 10             MiMo V2.5 Pro               12.573      0.00795  medium
133   Command Code GOAT                  USD 10             MiMo V2.6 Pro               12.573      0.00795  medium
134   MiMo Token Plan Standard 夜间0.8×  ¥99（国际 $16）    MiMo V2.6 Pro               12.51       0.01279  medium
135   MiMo Token Plan Standard 夜间0.8×  ¥99（国际 $16）    MiMo V2.5 Pro               12.51       0.01279  medium
136   Cursor Pro (Standard)              USD 20             Composer 2.5                12.084      0.01655  medium
137   Claude Max 20x (9/14+)             USD 200            Claude Fable 5              12.077      0.1656   low
138   Command Code GOAT                  USD 10             Qwen3.8 27B                 12.048      0.0083   medium
139   ChatGPT Plus                       USD 20             GPT 5.6 Terra               12.012      0.01665  medium
140   Command Code GOAT                  USD 10             GLM 5.3 Flash               11.687      0.00856  medium
141   Step Plan Plus (¥99)               CNY 99             Step 5 Preview              11.486      0.01272  high
142   OpenCode Go                        USD 10             Qwen3.7 Plus                11.278      0.00887  medium
143   MiMo Token Plan Lite 夜间0.8×      ¥39（国际 $6）     MiMo V2.6 Flash             10.68       0.00562  medium
144   MiMo Token Plan Lite 夜间0.8×      ¥39（国际 $6）     MiMo V2.5                   10.68       0.00562  medium
145   Ollama Max                         USD 100            GLM 5.3                     10.033      0.09967  medium
146   Ollama Max                         USD 100            GLM 5.2                     10.033      0.09967  medium
147   MiMo Token Plan Standard 日间      ¥99（国际 $16）    MiMo V2.6 Pro               10.01       0.01598  medium
148   MiMo Token Plan Standard 日间      ¥99（国际 $16）    MiMo V2.5 Pro               10.01       0.01598  medium
149   Command Code GOAT                  USD 10             Qwen3.8 Flash               9.669       0.01034  medium
150   GLM Coding Lite (v3 ¥118) 中间值   CNY 118            GLM 5.3 Flash               9.62        0.0181   high
151   GLM Coding Lite (v2 ¥49) 中间值    CNY 49             GLM 5.3 Flash               9.62        0.00751  high
152   OpenCode Go                        USD 10             MiMo V2.5 Pro               9.415       0.01062  medium
153   OpenCode Go                        USD 10             MiMo V2.6 Pro               9.415       0.01062  medium
154   Claude Max 5x (9/14+)              USD 100            Claude Fable 5              9.235       0.10828  low
155   ChatGPT Pro 5x                     USD 100            GPT-6 Astra                 9.1         0.10989  low
156   Command Code GOAT                  USD 10             Step 3.5 Flash              8.811       0.01135  medium
157   Step Plan Mini (¥49)               CNY 49             Step 3.7 Flash              8.779       0.00823  medium
158   OpenCode Go                        USD 10             MiniMax M3                  8.677       0.01152  medium
159   OpenCode Go                        USD 10             MiniMax M2.7                8.677       0.01152  medium
160   OpenCode Go                        USD 10             MiniMax M2.5                8.677       0.01152  medium
161   Ollama Pro                         USD 20             MiniMax M2.7                8.677       0.02305  medium
162   Claude Max 5x (9/14+)              USD 100            Claude Fable 5.1            8.639       0.11575  low
163   OpenCode Go                        USD 10             Qwen3.6 Plus                8.571       0.01167  medium
164   MiMo Token Plan Lite 日间          ¥39（国际 $6）     MiMo V2.6 Flash             8.54        0.00703  medium
165   MiMo Token Plan Lite 日间          ¥39（国际 $6）     MiMo V2.5                   8.54        0.00703  medium
166   Ollama Max                         USD 100            Kimi K3                     7.326       0.1365   medium
167   Command Code GOAT                  USD 10             GPT 5.6 Luna                7.143       0.014    medium
168   Command Code GOAT                  USD 10             MiniMax M3                  6.797       0.01471  medium
169   SuperGrok                          USD 30             Grok 4.7                    6.72        0.04464  medium
170   GLM Coding Lite (v3 ¥118) 忙时     CNY 118            GLM 5.3 Flash               6.42        0.02711  high
171   GLM Coding Lite (v2 ¥49) 忙时      CNY 49             GLM 5.3 Flash               6.42        0.01126  high
172   ChatGPT Plus                       USD 20             GPT 5.6 Sol                 6.16        0.03247  medium
173   MiniMax Token Plan Plus            CNY 49             MiniMax M3                  6           0.01205  high
174   MiniMax Token Plan Plus            CNY 49             MiniMax M2.7                6           0.01205  medium
175   OpenCode Go                        USD 10             GPT 5.6 Luna                5.357       0.01867  medium
176   SuperGrok                          USD 30             Grok 4.6                    5.09        0.05894  high
177   SuperGrok                          USD 30             Grok 4.5                    5.09        0.05894  medium
178   ChatGPT Plus                       USD 20             GPT 5.5                     4.805       0.04162  medium
179   Cursor Pro                         USD 20             Grok 4.6                    4.7         0.04255  medium
180   Command Code GOAT                  USD 10             DeepSeek V4 Pro             4.698       0.02129  medium
181   MiMo Token Plan Lite 夜间0.8×      ¥39（国际 $6）     MiMo V2.6 Pro               4.66        0.01288  medium
182   MiMo Token Plan Lite 夜间0.8×      ¥39（国际 $6）     MiMo V2.5 Pro               4.66        0.01288  medium
183   OpenCode Go                        USD 10             Hy4 Preview                 4.436       0.02254  medium
184   OpenCode Go                        USD 10             GLM 5.3 Flash               4.383       0.02282  medium
185   Ollama Pro                         USD 20             MiniMax M3                  4.338       0.0461   medium
186   Cursor Pro (Composer Fast)         USD 20             Composer 2.5                4.288       0.04664  medium
187   GLM Coding Lite (v3 ¥118) 闲时     CNY 118            GLM 5.3                     4.23        0.04115  high
188   GLM Coding Lite (v2 ¥49) 闲时      CNY 49             GLM 5.3                     4.23        0.01709  high
189   Command Code GOAT                  USD 10             Step 3.7 Flash              4.226       0.02366  medium
190   MiMo Token Plan Lite 日间          ¥39（国际 $6）     MiMo V2.6 Pro               3.73        0.01609  medium
191   MiMo Token Plan Lite 日间          ¥39（国际 $6）     MiMo V2.5 Pro               3.73        0.01609  medium
192   Command Code GOAT                  USD 10             Qwen3.7 Plus                3.579       0.02794  medium
193   OpenCode Go                        USD 10             DeepSeek V4 Pro             3.524       0.02838  medium
194   GLM Coding Lite (v3 ¥118) 中间值   CNY 118            GLM 5.3                     3.17        0.05491  high
195   GLM Coding Lite (v2 ¥49) 中间值    CNY 49             GLM 5.3                     3.17        0.0228   high
196   OpenCode Go                        USD 10             Kimi K2.6                   3.151       0.03174  medium
197   Kimi 会员 99 (v1) †                ¥99（国际 $19）    Kimi K2.7 Code              3.14        0.06051  medium
198   Command Code GOAT                  USD 10             Hy4 Preview                 2.957       0.03382  medium
199   Kimi 会员 99 (v1) †                ¥99（国际 $19）    Kimi K3                     2.9         0.06552  medium
200   Step Plan Mini (¥49)               CNY 49             Step 5 Preview              2.872       0.02517  medium
201   Command Code GOAT                  USD 10             Qwen3.6 Plus                2.779       0.03598  medium
202   OpenCode Go                        USD 10             Kimi K2.7 Code              2.731       0.03662  medium
203   Command Code GOAT                  USD 10             Kimi K2.7 Code              2.731       0.03662  medium
204   Ollama Pro                         USD 20             Kimi K2.7 Code              2.731       0.07323  medium
205   Ollama Pro                         USD 20             GLM 5.1                     2.635       0.0759   medium
206   Command Code GOAT                  USD 10             DeepSeek V4 Flash Fast      2.624       0.03811  medium
207   Command Code GOAT                  USD 10             GLM 5.2                     2.341       0.04272  medium
208   GLM Coding Lite (v3 ¥118) 忙时     CNY 118            GLM 5.3                     2.12        0.08211  high
209   GLM Coding Lite (v2 ¥49) 忙时      CNY 49             GLM 5.3                     2.12        0.0341   high
210   OpenCode Go                        USD 10             GLM 5.2                     2.007       0.04983  medium
211   OpenCode Go                        USD 10             GLM 5.1                     2.007       0.04983  medium
212   Ollama Pro                         USD 20             GLM 5.3                     2.007       0.09965  medium
213   Ollama Pro                         USD 20             GLM 5.2                     2.007       0.09965  medium
214   阿里云百炼 Coding Plan Pro         CNY 200            Qwen3.7 Plus                1.98        0.14901  medium
215   Alibaba Cloud Coding Plan Pro      USD 50             Qwen3.7 Plus                1.98        0.25253  low
216   Command Code GOAT                  USD 10             Gemini 3.8 Flash            1.954       0.05118  medium
217   Command Code GOAT                  USD 10             Gemini 3.7 Flash            1.954       0.05118  medium
218   Command Code GOAT                  USD 10             Inkling Small               1.779       0.05621  medium
219   ChatGPT Plus                       USD 20             GPT-6 Astra                 1.59        0.12579  high
220   SuperGrok Lite                     USD 10             Grok 4.6                    1.5         0.06667  low
221   Ollama Pro                         USD 20             Kimi K3                     1.465       0.13652  medium
222   Command Code GOAT                  USD 10             Nemotron 3 Ultra            1.446       0.06916  medium
223   Command Code GOAT                  USD 10             Muse Spark 1.3              1.064       0.09398  medium
224   Command Code GOAT                  USD 10             Muse Spark 1.2              1.064       0.09398  medium
225   Command Code GOAT                  USD 10             GPT 5.6 Sol                 1           0.1      medium
226   Command Code GOAT                  USD 10             Inkling                     0.993       0.1007   medium
227   Kimi 会员 49 (v1) †                CNY 49             Kimi K2.7 Code              0.78        0.09267  medium
228   Command Code GOAT                  USD 10             GLM 5.3                     0.669       0.14948  medium
229   Command Code GOAT                  USD 10             Qwen3.8 Max                 0.65        0.15385  medium
230   Command Code GOAT                  USD 10             Qwen3.8 Max 0902            0.65        0.15385  medium
231   Command Code GOAT                  USD 10             MiMo V2.6 Pro UltraSpeed    0.629       0.15898  medium
232   Command Code GOAT                  USD 10             Qwen3.7 Max                 0.581       0.17212  medium
233   OpenCode Go                        USD 10             Qwen3.7 Max                 0.529       0.18904  medium
234   OpenCode Go                        USD 10             GLM 5.3                     0.502       0.1992   medium
235   Command Code GOAT                  USD 10             Kimi K3                     0.488       0.20492  medium
236   OpenCode Go                        USD 10             Qwen3.8 Max                 0.487       0.20534  medium
237   Command Code GOAT                  USD 10             Kimi K2.7 Code HighSpeed    0.455       0.21978  medium
238   OpenCode Go                        USD 10             Kimi K3                     0.366       0.27322  medium
239   Command Code GOAT                  USD 10             Grok 4.7                    0.363       0.27548  medium
240   Command Code GOAT                  USD 10             Grok 4.5                    0.363       0.27548  medium
241   Command Code GOAT                  USD 10             Grok 4.6                    0.363       0.27548  medium
242   Command Code GOAT                  USD 10             GLM 5.2 Fast                0.34        0.29412  medium
243   OpenCode Go                        USD 10             Grok 4.6                    0.272       0.36765  medium
244   OpenCode Go                        USD 10             Grok 4.7                    0.272       0.36765  medium
