真实单价总览 · 订阅与 API 统一对比
美元/credits与API三段价统一按97.5%缓存 / 2.15%输入 / 0.35%输出折算；直接total-token实测不重算
同套餐各模型额度不可相加。Claude Max (9/14+)：2026-09-14起永久额度估算，非当前活动期上限。数据：adopted.csv。
颜色 = 套餐/API 提供方；置信度 [H] 高 / [M] 中 / [L] 低；编号为排序序号，同值依次列出，不代表模型能力排名。
† Kimi：¥199的K3点以K3-256K为主，约84%反推周池×5得14.51亿；K2.7纯样本11.9M/月0.76%得15.68亿；其余档按官方倍率推算；同名档国内外并点，月费/单价按国际版美元标价（$19/$39/$99），¥价为国内实付。OpenCode Go按官方美元池和三段价套统一标准负载换算。
汇率：1 USD = 6.7787 CNY（2026-09-04，中国外汇交易中心中间价，新华社转载）；人民币月费 ÷ 汇率换算美元（Kimi 同名并点档除外，按国际版美元标价）。
汇率来源：https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html
序号  套餐                               价格/月           服务模型                    月额度(亿)  $/MTok   置信度
63    Cursor Pro+ (Standard)             USD 60            Composer 2.5                53.047      0.01131  low
64    Command Code GOAT                  USD 10            Step 3.5 Flash              8.811       0.01135  medium
65    Ollama Pro                         USD 20            GLM 5.3 Flash               17.531      0.01141  medium
66    Ollama Max                         USD 100           GLM 5.3 Flash               87.655      0.01141  medium
67    OpenCode Go                        USD 10            MiniMax M3                  8.677       0.01152  medium
68    OpenCode Go                        USD 10            MiniMax M2.7                8.677       0.01152  medium
69    OpenCode Go                        USD 10            MiniMax M2.5                8.677       0.01152  medium
70    GLM Coding Pro (v2 ¥149) 中间值    CNY 149           GLM 5.3                     19.05       0.01154  high
71    OpenCode Go                        USD 10            Qwen3.6 Plus                8.571       0.01167  medium
72    GLM Coding Max (v2 ¥469) 闲时      CNY 469           GLM 5.3                     59.26       0.01168  high
73    GLM Coding Max (v3 ¥1078) 中间值   CNY 1078          GLM 5.3 Flash               134.73      0.0118   high
74    MiniMax Token Plan Plus            CNY 49            MiniMax M3                  6           0.01205  high
75    MiniMax Token Plan Plus            CNY 49            MiniMax M2.7                6           0.01205  medium
76    Step Plan Plus (¥99)               CNY 99            Step 5 Preview              11.486      0.01272  high
77    Claude Max 20x (9/14+)             USD 200           Claude Opus 5               157         0.01274  medium
78    Claude Max 5x (9/14+)              USD 100           Claude Opus 5               78.5        0.01274  medium
79    Claude Max 20x (9/14+)             USD 200           Claude Opus 4.8             157         0.01274  low
80    MiniMax Token Plan Plus (Global)   USD 22            MiniMax M3                  17          0.01294  high
81    MiniMax Token Plan Plus (Global)   USD 22            MiniMax M2.7                17          0.01294  medium
82    MiniMax Token Plan Ultra (Global)  USD 132           MiniMax M3                  98          0.01347  high
83    GLM Coding Lite (v3 ¥118) 闲时     CNY 118           GLM 5.3 Flash               12.83       0.01357  high
84    GLM Coding Pro (v3 ¥538) 中间值    CNY 538           GLM 5.3 Flash               57.74       0.01375  high
85    DeepSeek V4 Flash API 闲时         按量计费          DeepSeek V4 Flash           -           0.01386  high
86    Command Code GOAT                  USD 10            GPT 5.6 Luna                7.143       0.014    medium
87    Ollama Pro                         USD 20            DeepSeek V4 Pro             14.094      0.01419  medium
88    Ollama Max                         USD 100           DeepSeek V4 Pro             70.472      0.01419  medium
89    Command Code GOAT                  USD 10            MiniMax M3                  6.797       0.01471  medium
90    ChatGPT Pro 20x                    USD 200           GPT 5.6 Sol                 129.02      0.0155   high
91    GLM Coding Max (v2 ¥469) 中间值    CNY 469           GLM 5.3                     44.45       0.01557  high
92    DeepSeek V4.1 Flash API 忙时       按量计费          DeepSeek V4.1 Flash         -           0.0165   high
93    Cursor Pro (Standard)              USD 20            Composer 2.5                12.084      0.01655  medium
94    ChatGPT Plus                       USD 20            GPT 5.6 Terra               12.012      0.01665  medium
95    ChatGPT Pro 5x                     USD 100           GPT 5.6 Terra               60.06       0.01665  medium
96    GLM Coding Lite (v2 ¥49) 闲时      CNY 49            GLM 5.3                     4.23        0.01709  high
97    GLM Coding Pro (v2 ¥149) 忙时      CNY 149           GLM 5.3                     12.7        0.01731  high
98    GLM Coding Max (v3 ¥1078) 忙时     CNY 1078          GLM 5.3 Flash               89.82       0.01771  high
99    GLM Coding Lite (v3 ¥118) 中间值   CNY 118           GLM 5.3 Flash               9.62        0.0181   high
100   OpenCode Go                        USD 10            GPT 5.6 Luna                5.357       0.01867  medium
101   ChatGPT Pro 20x                    USD 200           GPT 5.5                     100.636     0.01987  medium
102   GLM Coding Pro (v3 ¥538) 忙时      CNY 538           GLM 5.3 Flash               38.5        0.02061  high
103   Kimi 会员 699 †                    ¥699（国际 $99）  Kimi K2.7 Code              47.04       0.02105  medium
104   Command Code GOAT                  USD 10            DeepSeek V4 Pro             4.698       0.02129  medium
105   OpenCode Go                        USD 10            Hy4 Preview                 4.436       0.02254  medium
106   Kimi 会员 699 †                    ¥699（国际 $99）  Kimi K3                     43.53       0.02274  medium
107   GLM Coding Lite (v2 ¥49) 中间值    CNY 49            GLM 5.3                     3.17        0.0228   high
108   OpenCode Go                        USD 10            GLM 5.3 Flash               4.383       0.02282  medium
109   Ollama Pro                         USD 20            MiniMax M2.7                8.677       0.02305  medium
110   Ollama Max                         USD 100           MiniMax M2.7                43.384      0.02305  medium
111   GLM Coding Max (v2 ¥469) 忙时      CNY 469           GLM 5.3                     29.63       0.02335  high
112   Command Code GOAT                  USD 10            Step 3.7 Flash              4.226       0.02366  medium
113   Kimi 会员 199 †                    ¥199（国际 $39）  Kimi K2.7 Code              15.68       0.02487  medium
114   Step Plan Mini (¥49)               CNY 49            Step 5 Preview              2.872       0.02517  medium
115   Cursor Ultra                       USD 200           Grok 4.6                    77.37       0.02585  medium
116   Cursor Ultra                       USD 200           Grok 4.5                    77.37       0.02585  medium
117   GLM Coding Max (v3 ¥1078) 闲时     CNY 1078          GLM 5.3                     59.26       0.02684  high
118   Kimi 会员 199 †                    ¥199（国际 $39）  Kimi K3                     14.51       0.02688  medium
119   GLM Coding Lite (v3 ¥118) 忙时     CNY 118           GLM 5.3 Flash               6.42        0.02711  high
120   DeepSeek V4 Flash API 忙时         按量计费          DeepSeek V4 Flash           -           0.02773  high
121   Command Code GOAT                  USD 10            Qwen3.7 Plus                3.579       0.02794  medium
122   GPT-5.6 Luna API                   按量计费          GPT 5.6 Luna                -           0.028    high
123   Cursor Ultra (Composer Fast)       USD 200           Composer 2.5                70.587      0.02833  medium
124   OpenCode Go                        USD 10            DeepSeek V4 Pro             3.524       0.02838  medium
125   Cursor Pro+                        USD 60            Grok 4.6                    20.632      0.02908  medium
126   GLM Coding Pro (v3 ¥538) 闲时      CNY 538           GLM 5.3                     25.4        0.03125  high
127   OpenCode Go                        USD 10            Kimi K2.6                   3.151       0.03174  medium
128   Cursor Pro+ (Composer Fast)        USD 60            Composer 2.5                18.823      0.03188  low
129   ChatGPT Plus                       USD 20            GPT 5.6 Sol                 6.16        0.03247  medium
130   ChatGPT Pro 5x                     USD 100           GPT 5.6 Sol                 30.8        0.03247  medium
131   Command Code GOAT                  USD 10            Hy4 Preview                 2.957       0.03382  medium
132   GLM Coding Lite (v2 ¥49) 忙时      CNY 49            GLM 5.3                     2.12        0.0341   high
133   GLM Coding Max (v3 ¥1078) 中间值   CNY 1078          GLM 5.3                     44.45       0.03578  high
134   Command Code GOAT                  USD 10            Qwen3.6 Plus                2.779       0.03598  medium
135   OpenCode Go                        USD 10            Kimi K2.7 Code              2.731       0.03662  medium
136   Command Code GOAT                  USD 10            Kimi K2.7 Code              2.731       0.03662  medium
137   Command Code GOAT                  USD 10            DeepSeek V4 Flash Fast      2.624       0.03811  medium
138   GLM Coding Lite (v3 ¥118) 闲时     CNY 118           GLM 5.3                     4.23        0.04115  high
139   ChatGPT Plus                       USD 20            GPT 5.5                     4.805       0.04162  medium
140   ChatGPT Pro 5x                     USD 100           GPT 5.5                     24.024      0.04163  medium
141   GLM Coding Pro (v3 ¥538) 中间值    CNY 538           GLM 5.3                     19.05       0.04166  high
142   Cursor Pro                         USD 20            Grok 4.6                    4.7         0.04255  medium
143   DeepSeek V4 Pro API 闲时           按量计费          DeepSeek V4 Pro             -           0.04257  high
144   Command Code GOAT                  USD 10            GLM 5.2                     2.341       0.04272  medium
145   Ollama Pro                         USD 20            MiniMax M3                  4.338       0.0461   medium
146   Ollama Max                         USD 100           MiniMax M3                  21.692      0.0461   medium
147   Cursor Pro (Composer Fast)         USD 20            Composer 2.5                4.288       0.04664  medium
148   SuperGrok Plus                     USD 100           Grok 4.6                    20.4        0.04902  medium
149   OpenCode Go                        USD 10            GLM 5.2                     2.007       0.04983  medium
150   OpenCode Go                        USD 10            GLM 5.1                     2.007       0.04983  medium
151   Command Code GOAT                  USD 10            Gemini 3.8 Flash            1.954       0.05118  medium
152   Command Code GOAT                  USD 10            Gemini 3.7 Flash            1.954       0.05118  medium
153   ChatGPT Pro 20x                    USD 200           GPT-6 Astra                 38.12       0.05247  medium
154   GLM Coding Max (v3 ¥1078) 忙时     CNY 1078          GLM 5.3                     29.63       0.05367  high
155   GLM Coding Lite (v3 ¥118) 中间值   CNY 118           GLM 5.3                     3.17        0.05491  high
156   Command Code GOAT                  USD 10            Inkling Small               1.779       0.05621  medium
157   SuperGrok                          USD 30            Grok 4.6                    5.09        0.05894  high
158   SuperGrok Heavy                    USD 300           Grok 4.6                    50.9        0.05894  medium
159   SuperGrok Heavy                    USD 300           Grok 4.5                    50.9        0.05894  medium
160   SuperGrok                          USD 30            Grok 4.5                    5.09        0.05894  medium
161   Kimi 会员 99 †                     ¥99（国际 $19）   Kimi K2.7 Code              3.14        0.06051  medium
162   GLM Coding Pro (v3 ¥538) 忙时      CNY 538           GLM 5.3                     12.7        0.06249  high
163   Cursor Ultra (Fast)                USD 200           Grok 4.6                    30.74       0.06506  high
164   Kimi 会员 99 †                     ¥99（国际 $19）   Kimi K3                     2.9         0.06552  medium
165   SuperGrok Lite                     USD 10            Grok 4.6                    1.5         0.06667  low
166   Command Code GOAT                  USD 10            Nemotron 3 Ultra            1.446       0.06916  medium
167   Ollama Max                         USD 100           Kimi K2.7 Code              13.657      0.07322  medium
168   Ollama Pro                         USD 20            Kimi K2.7 Code              2.731       0.07323  medium
169   Ollama Pro                         USD 20            GLM 5.1                     2.635       0.0759   medium
170   Ollama Max                         USD 100           GLM 5.1                     13.175      0.0759   medium
171   GLM Coding Lite (v3 ¥118) 忙时     CNY 118           GLM 5.3                     2.12        0.08211  high
172   DeepSeek V4 Pro API 忙时           按量计费          DeepSeek V4 Pro             -           0.08514  high
173   Kimi 会员 49 †                     CNY 49            Kimi K2.7 Code              0.78        0.09267  medium
174   Command Code GOAT                  USD 10            Muse Spark 1.3              1.064       0.09398  medium
175   Command Code GOAT                  USD 10            Muse Spark 1.2              1.064       0.09398  medium
176   Ollama Pro                         USD 20            GLM 5.3                     2.007       0.09965  medium
177   Ollama Pro                         USD 20            GLM 5.2                     2.007       0.09965  medium
178   Ollama Max                         USD 100           GLM 5.3                     10.033      0.09967  medium
179   Ollama Max                         USD 100           GLM 5.2                     10.033      0.09967  medium
180   Command Code GOAT                  USD 10            GPT 5.6 Sol                 1           0.1      medium
181   Command Code GOAT                  USD 10            Inkling                     0.993       0.1007   medium
182   Claude Max 5x (9/14+)              USD 100           Claude Fable 5              9.235       0.10828  low
183   ChatGPT Pro 5x                     USD 100           GPT-6 Astra                 9.1         0.10989  low
184   Claude Max 20x (9/14+)             USD 200           Claude Fable 5.1            17.28       0.11574  medium
185   Claude Max 5x (9/14+)              USD 100           Claude Fable 5.1            8.639       0.11575  low
186   ChatGPT Plus                       USD 20            GPT-6 Astra                 1.59        0.12579  high
187   Ollama Max                         USD 100           Kimi K3                     7.326       0.1365   medium
188   Ollama Pro                         USD 20            Kimi K3                     1.465       0.13652  medium
189   Devin Max                          USD 200           GPT-6 Astra                 14.02       0.14265  high
190   阿里云百炼 Coding Plan Pro         CNY 200           Qwen3.7 Plus                1.98        0.14901  medium
191   Command Code GOAT                  USD 10            GLM 5.3                     0.669       0.14948  medium
192   Command Code GOAT                  USD 10            Qwen3.8 Max                 0.65        0.15385  medium
193   Command Code GOAT                  USD 10            Qwen3.8 Max 0902            0.65        0.15385  medium
194   Claude Max 20x (9/14+)             USD 200           Claude Fable 5              12.077      0.1656   low
195   Command Code GOAT                  USD 10            Qwen3.7 Max                 0.581       0.17212  medium
196   OpenCode Go                        USD 10            Qwen3.7 Max                 0.529       0.18904  medium
197   OpenCode Go                        USD 10            GLM 5.3                     0.502       0.1992   medium
198   Command Code GOAT                  USD 10            Kimi K3                     0.488       0.20492  medium
199   OpenCode Go                        USD 10            Qwen3.8 Max                 0.487       0.20534  medium
200   Command Code GOAT                  USD 10            Kimi K2.7 Code HighSpeed    0.455       0.21978  medium
201   Alibaba Cloud Coding Plan Pro      USD 50            Qwen3.7 Plus                1.98        0.25253  low
202   Claude Sonnet 5 API                按量计费          Claude Sonnet 5             -           0.273    high
203   OpenCode Go                        USD 10            Kimi K3                     0.366       0.27322  medium
204   Command Code GOAT                  USD 10            Grok 4.5                    0.363       0.27548  medium
205   Command Code GOAT                  USD 10            Grok 4.6                    0.363       0.27548  medium
206   GPT-5.6 Terra API                  按量计费          GPT 5.6 Terra               -           0.28     high
207   Command Code GOAT                  USD 10            GLM 5.2 Fast                0.34        0.29412  medium
208   OpenCode Go                        USD 10            Grok 4.6                    0.272       0.36765  medium
209   GPT-5.6 Sol API                    按量计费          GPT 5.6 Sol                 -           0.546    high
210   Grok 4.6 API (<200k)               按量计费          Grok 4.6                    -           0.5515   high
211   Claude Fable 5.1 API               按量计费          Claude Fable 5.1            -           0.63375  high
212   Claude Opus 5 API                  按量计费          Claude Opus 5               -           0.6825   high
213   Claude Fable 5 API                 按量计费          Claude Fable 5              -           1.365    high
