Monthly token allowance | Subscription plan x served model
Default month = 4 weeks; Kimi monthly pool = 5× weekly; full utilization, all token types; APIs have no allowance
Allowances within a plan are not additive. Claude Max (9/14+): estimated permanent allowances from 2026-09-14, not current boosted limits. Source: adopted.csv.
Color = plan/API provider; confidence [H] high / [M] medium / [L] low; numbers indicate row order, not model capability. Ties listed sequentially.
† Kimi: CNY199 K3 uses a K3-256K-dominant / ~84% weekly sample ×5 = 1.451B; pure K2.7 uses 11.9M / 0.76% = 1.568B. Other tiers are scaled by official ratios. Same-name CN/global tiers are merged; fee and unit price use the international USD list ($19/$39/$99), ¥ is the domestic list price. OpenCode Go uses official dollar pools and rates under the standard workload.
FX: 1 USD = 6.7787 CNY (2026-09-04, CFETS central parity, via Xinhua); CNY monthly fees divided by this rate (merged same-name Kimi tiers use the international USD list instead).
FX source: https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html
No.  Plan                                   Monthly fee     Served model                  Monthly tokens (B)  USD/MTok  Confidence
112  Claude Pro                             USD 20          Claude Opus 5                 1.878               0.01065   high
113  Claude Pro                             USD 20          Claude Opus 4.8               1.878               0.01065   low
114  GLM Coding Pro (v3 ¥538) Midpoint      CNY 538         GLM 5.3                       1.854               0.04281   high
115  GLM Coding Pro (v2 ¥149) Midpoint      CNY 149         GLM 5.3                       1.854               0.01186   high
116  Cursor Pro+ (Composer Fast)            USD 60          Composer 2.5                  1.8358              0.03268   low
117  MiniMax Token Plan Max                 CNY 119         MiniMax M3                    1.8                 0.00975   high
118  Command Code GOAT                      USD 10          Hy3                           1.7348              0.00576   medium
119  Step Plan Mini (¥49)                   CNY 49          Step 3.5 Flash                1.7316              0.00417   medium
120  Claude Max 20x (9/14+)                 USD 200         Claude Fable 5.1              1.728               0.11574   medium
121  MiniMax Token Plan Plus (Global)       USD 22          MiniMax M3                    1.7                 0.01294   high
122  MiniMax Token Plan Plus (Global)       USD 22          MiniMax M2.7                  1.7                 0.01294   medium
123  OpenCode Go                            USD 10          GLM 5.3 Flash                 1.6973              0.00589   medium
124  Ollama Pro                             USD 20          GLM 5.3 Flash                 1.6973              0.01178   medium
125  Kimi Allegretto †                      $39 · CN ¥199   Kimi K2.7 Code                1.568               0.02487   medium
126  OpenCode Go                            USD 10          DeepSeek V4.1 Flash           1.5528              0.00644   medium
127  OpenCode Go                            USD 10          DeepSeek V4 Flash Vision Exp  1.5528              0.00644   medium
128  OpenCode Go                            USD 10          Hy3                           1.487               0.00672   medium
129  Kimi Allegretto †                      $39 · CN ¥199   Kimi K3                       1.451               0.02688   medium
130  OpenCode Go                            USD 10          Qwen3.8 Flash                 1.3876              0.00721   medium
131  Command Code GOAT                      USD 10          GPT-6 Luna                    1.3605              0.00735   medium
132  Ollama Max                             USD 100         Kimi K2.7 Code                1.3155              0.07602   medium
133  Ollama Max                             USD 100         GLM 5.1                       1.2766              0.07833   medium
134  Ollama Pro                             USD 20          DeepSeek V4 Pro               1.2568              0.01591   medium
135  GLM Coding Lite (v3 ¥118) Off-peak     CNY 118         GLM 5.3 Flash                 1.249               0.01394   high
136  GLM Coding Lite (v2 ¥49) Off-peak      CNY 49          GLM 5.3 Flash                 1.249               0.00579   high
137  GLM Coding Pro (v3 ¥538) Peak          CNY 538         GLM 5.3                       1.236               0.06421   high
138  GLM Coding Pro (v2 ¥149) Peak          CNY 149         GLM 5.3                       1.236               0.01778   high
139  Cursor Pro (Standard)                  USD 20          Composer 2.5                  1.2126              0.01649   medium
140  Claude Max 20x (9/14+)                 USD 200         Claude Fable 5                1.2077              0.1656    low
141  ChatGPT Plus                           USD 20          GPT 5.6 Terra                 1.1915              0.01679   medium
142  Step Plan Plus (¥99)                   CNY 99          Step 5 Preview                1.1327              0.01289   high
143  Command Code GOAT                      USD 10          GLM 5.3 Flash                 1.1315              0.00884   medium
144  Devin Max                              USD 200         GPT-6 Astra                   1.115               0.17937   medium
145  Command Code GOAT                      USD 10          Qwen3.8 27B                   1.0972              0.00911   medium
146  Command Code GOAT                      USD 10          MiMo V2.5 Pro                 1.0685              0.00936   medium
147  Command Code GOAT                      USD 10          MiMo V2.6 Pro                 1.0685              0.00936   medium
148  MiMo Token Plan Standard (Night 0.8x)  $16 · CN ¥99    MiMo V2.6 Pro                 1.064               0.01504   medium
149  MiMo Token Plan Standard (Night 0.8x)  $16 · CN ¥99    MiMo V2.5 Pro                 1.064               0.01504   medium
150  OpenCode Go                            USD 10          Qwen3.7 Plus                  1.0563              0.00947   medium
151  ChatGPT Plus                           USD 20          GPT-6 Sol                     1.048               0.01908   high
152  OpenCode Go                            USD 10          GPT-6 Luna                    1.0204              0.0098    medium
153  Ollama Max                             USD 100         GLM 5.3                       0.9702              0.10307   medium
154  Ollama Max                             USD 100         GLM 5.2                       0.9702              0.10307   medium
155  MiMo Token Plan Lite (Night 0.8x)      $6 · CN ¥39     MiMo V2.6 Flash               0.942               0.00637   medium
156  MiMo Token Plan Lite (Night 0.8x)      $6 · CN ¥39     MiMo V2.5                     0.942               0.00637   medium
157  GLM Coding Lite (v3 ¥118) Midpoint     CNY 118         GLM 5.3 Flash                 0.936               0.0186    high
158  GLM Coding Lite (v2 ¥49) Midpoint      CNY 49          GLM 5.3 Flash                 0.936               0.00772   high
159  Command Code GOAT                      USD 10          Qwen3.8 Omni Flash            0.9251              0.01081   medium
160  Claude Max 5x (9/14+)                  USD 100         Claude Fable 5                0.9235              0.10828   low
161  Command Code GOAT                      USD 10          Qwen3.8 Flash                 0.9145              0.01093   medium
162  ChatGPT Pro 5x                         USD 100         GPT-6 Astra                   0.91                0.10989   low
163  Claude Max 5x (9/14+)                  USD 100         Claude Fable 5.1              0.8639              0.11575   low
164  Step Plan Mini (¥49)                   CNY 49          Step 3.7 Flash                0.8588              0.00842   medium
165  Command Code GOAT                      USD 10          Step 3.5 Flash                0.8547              0.0117    medium
166  MiMo Token Plan Standard (Day)         $16 · CN ¥99    MiMo V2.6 Pro                 0.851               0.0188    medium
167  MiMo Token Plan Standard (Day)         $16 · CN ¥99    MiMo V2.5 Pro                 0.851               0.0188    medium
168  OpenCode Go                            USD 10          MiniMax M3                    0.8368              0.01195   medium
169  OpenCode Go                            USD 10          MiniMax M2.7                  0.8368              0.01195   medium
170  OpenCode Go                            USD 10          MiniMax M2.5                  0.8368              0.01195   medium
171  Ollama Pro                             USD 20          MiniMax M2.7                  0.8368              0.0239    medium
172  OpenCode Go                            USD 10          MiMo V2.5 Pro                 0.8004              0.01249   medium
173  OpenCode Go                            USD 10          MiMo V2.6 Pro                 0.8004              0.01249   medium
174  OpenCode Go                            USD 10          Qwen3.6 Plus                  0.7895              0.01267   medium
175  MiMo Token Plan Lite (Day)             $6 · CN ¥39     MiMo V2.6 Flash               0.754               0.00796   medium
176  MiMo Token Plan Lite (Day)             $6 · CN ¥39     MiMo V2.5                     0.754               0.00796   medium
177  Ollama Max                             USD 100         Kimi K3                       0.6803              0.14699   medium
178  Command Code GOAT                      USD 10          GPT 5.6 Luna                  0.6579              0.0152    medium
179  Command Code GOAT                      USD 10          MiniMax M3                    0.6555              0.01526   medium
180  GLM Coding Lite (v3 ¥118) Peak         CNY 118         GLM 5.3 Flash                 0.624               0.0279    high
181  GLM Coding Lite (v2 ¥49) Peak          CNY 49          GLM 5.3 Flash                 0.624               0.01158   high
182  ChatGPT Plus                           USD 20          GPT 5.6 Sol                   0.616               0.03247   medium
183  MiniMax Token Plan Plus                CNY 49          MiniMax M3                    0.6                 0.01205   high
184  MiniMax Token Plan Plus                CNY 49          MiniMax M2.7                  0.6                 0.01205   medium
185  SuperGrok                              USD 30          Grok 4.6                      0.509               0.05894   high
186  SuperGrok                              USD 30          Grok 4.5                      0.509               0.05894   medium
187  SuperGrok                              USD 30          Grok 4.7                      0.497               0.06036   medium
188  OpenCode Go                            USD 10          GPT 5.6 Luna                  0.4934              0.02027   medium
189  ChatGPT Plus                           USD 20          GPT 5.5                       0.4766              0.04196   medium
190  Cursor Pro                             USD 20          Grok 4.6                      0.47                0.04255   medium
191  Command Code GOAT                      USD 10          MiniMax M2.5                  0.4695              0.0213    medium
192  Command Code GOAT                      USD 10          DeepSeek V4 Pro               0.4189              0.02387   medium
193  Ollama Pro                             USD 20          MiniMax M3                    0.4184              0.0478    medium
194  Cursor Pro (Composer Fast)             USD 20          Composer 2.5                  0.4182              0.04782   medium
195  GLM Coding Lite (v3 ¥118) Off-peak     CNY 118         GLM 5.3                       0.412               0.04225   high
196  GLM Coding Lite (v2 ¥49) Off-peak      CNY 49          GLM 5.3                       0.412               0.01754   high
197  OpenCode Go                            USD 10          Hy4 Preview                   0.4049              0.0247    medium
198  Command Code GOAT                      USD 10          Step 3.7 Flash                0.4036              0.02478   medium
199  MiMo Token Plan Lite (Night 0.8x)      $6 · CN ¥39     MiMo V2.6 Pro                 0.397               0.01511   medium
200  MiMo Token Plan Lite (Night 0.8x)      $6 · CN ¥39     MiMo V2.5 Pro                 0.397               0.01511   medium
201  Command Code GOAT                      USD 10          Qwen3.7 Plus                  0.3452              0.02897   medium
202  MiMo Token Plan Lite (Day)             $6 · CN ¥39     MiMo V2.6 Pro                 0.317               0.01893   medium
203  MiMo Token Plan Lite (Day)             $6 · CN ¥39     MiMo V2.5 Pro                 0.317               0.01893   medium
204  OpenCode Go                            USD 10          DeepSeek V4 Pro               0.3142              0.03183   medium
205  Kimi Moderato †                        $19 · CN ¥99    Kimi K2.7 Code                0.314               0.06051   medium
206  GLM Coding Lite (v3 ¥118) Midpoint     CNY 118         GLM 5.3                       0.309               0.05633   high
207  GLM Coding Lite (v2 ¥49) Midpoint      CNY 49          GLM 5.3                       0.309               0.02339   high
208  OpenCode Go                            USD 10          Kimi K2.6                     0.3016              0.03316   medium
209  Kimi Moderato †                        $19 · CN ¥99    Kimi K3                       0.29                0.06552   medium
210  Step Plan Mini (¥49)                   CNY 49          Step 5 Preview                0.2832              0.02552   medium
211  Command Code GOAT                      USD 10          MiniMax M2.7                  0.2789              0.03586   medium
212  Command Code GOAT                      USD 10          Hy4 Preview                   0.2699              0.03705   medium
213  Command Code GOAT                      USD 10          Qwen3.6 Plus                  0.2651              0.03772   medium
214  OpenCode Go                            USD 10          Kimi K2.7 Code                0.2631              0.03801   medium
215  Command Code GOAT                      USD 10          Kimi K2.7 Code                0.2631              0.03801   medium
216  Ollama Pro                             USD 20          Kimi K2.7 Code                0.2631              0.07602   medium
217  Command Code GOAT                      USD 10          DeepSeek V4 Flash Fast        0.2574              0.03885   medium
218  Ollama Pro                             USD 20          GLM 5.1                       0.2553              0.07834   medium
219  Command Code GOAT                      USD 10          Step 5 Preview                0.2299              0.0435    medium
220  Command Code GOAT                      USD 10          GLM 5.3 FlashX                0.2266              0.04413   medium
221  Command Code GOAT                      USD 10          GLM 5.2                       0.2264              0.04417   medium
222  GLM Coding Lite (v3 ¥118) Peak         CNY 118         GLM 5.3                       0.206               0.0845    high
223  GLM Coding Lite (v2 ¥49) Peak          CNY 49          GLM 5.3                       0.206               0.03509   high
224  Alibaba Cloud CN Coding Plan Pro       CNY 200         Qwen3.7 Plus                  0.198               0.14901   medium
225  Alibaba Cloud Coding Plan Pro          USD 50          Qwen3.7 Plus                  0.198               0.25253   low
226  OpenCode Go                            USD 10          GLM 5.2                       0.194               0.05155   medium
227  OpenCode Go                            USD 10          GLM 5.1                       0.194               0.05155   medium
228  Ollama Pro                             USD 20          GLM 5.3                       0.194               0.10309   medium
229  Ollama Pro                             USD 20          GLM 5.2                       0.194               0.10309   medium
230  Command Code GOAT                      USD 10          Gemini 3.8 Flash              0.1814              0.05513   medium
231  Command Code GOAT                      USD 10          Gemini 3.7 Flash              0.1814              0.05513   medium
232  Command Code GOAT                      USD 10          Inkling Small                 0.1732              0.05774   medium
233  ChatGPT Plus                           USD 20          GPT-6 Astra                   0.159               0.12579   high
234  Command Code GOAT                      USD 10          Kimi K2.5                     0.1575              0.06349   medium
235  SuperGrok Lite                         USD 10          Grok 4.6                      0.15                0.06667   low
236  Command Code GOAT                      USD 10          Nemotron 3 Ultra              0.1395              0.07168   medium
237  Ollama Pro                             USD 20          Kimi K3                       0.1361              0.14695   medium
238  Command Code GOAT                      USD 10          Muse Spark 1.3                0.101               0.09901   medium
239  Command Code GOAT                      USD 10          Muse Spark 1.2                0.101               0.09901   medium
240  Command Code GOAT                      USD 10          Kimi K2.6                     0.1005              0.0995    medium
241  Command Code GOAT                      USD 10          Inkling                       0.0952              0.10504   medium
242  Command Code GOAT                      USD 10          GPT 5.6 Sol                   0.0921              0.10858   medium
243  Command Code GOAT                      USD 10          GLM 5                         0.0851              0.11751   medium
244  Kimi Andante (CN) (v1) †               CNY 49          Kimi K2.7 Code                0.078               0.09267   medium
245  Command Code GOAT                      USD 10          GLM 5.3                       0.0647              0.15456   medium
246  Command Code GOAT                      USD 10          GLM 5.1                       0.0647              0.15456   medium
247  Command Code GOAT                      USD 10          Qwen3.8 Max                   0.062               0.16129   medium
248  Command Code GOAT                      USD 10          Qwen3.8 Max 0902              0.062               0.16129   medium
249  Command Code GOAT                      USD 10          Qwen3.6 Max Preview           0.0618              0.16181   medium
250  Command Code GOAT                      USD 10          Qwen3.7 Max                   0.0564              0.1773    medium
251  Command Code GOAT                      USD 10          MiMo V2.6 Pro UltraSpeed      0.0534              0.18727   medium
252  OpenCode Go                            USD 10          Qwen3.7 Max                   0.0513              0.19493   medium
253  OpenCode Go                            USD 10          GLM 5.3                       0.0485              0.20619   medium
254  OpenCode Go                            USD 10          Qwen3.8 Max                   0.0465              0.21505   medium
255  Command Code GOAT                      USD 10          Kimi K3                       0.0454              0.22026   medium
256  Command Code GOAT                      USD 10          Kimi K2.7 Code HighSpeed      0.0439              0.22779   medium
257  Command Code GOAT                      USD 10          Grok 4.7                      0.0354              0.28249   medium
258  Command Code GOAT                      USD 10          Grok 4.5                      0.0354              0.28249   medium
259  Command Code GOAT                      USD 10          Grok 4.6                      0.0354              0.28249   medium
260  OpenCode Go                            USD 10          Kimi K3                       0.034               0.29412   medium
261  Command Code GOAT                      USD 10          GLM 5.2 Fast                  0.0327              0.30581   medium
262  OpenCode Go                            USD 10          Grok 4.6                      0.0265              0.37736   medium
263  OpenCode Go                            USD 10          Grok 4.7                      0.0265              0.37736   medium
