Monthly token allowance | Subscription plan x served model
Default month = 4 weeks; Kimi monthly pool = 5× weekly; full utilization, all token types; APIs have no allowance
Allowances within a plan are not additive. Claude Max (9/14+): estimated permanent allowances from 2026-09-14, not current boosted limits. Source: adopted.csv.
Color = plan/API provider; confidence [H] high / [M] medium / [L] low; numbers indicate row order, not model capability. Ties listed sequentially.
† Kimi: CNY199 K3 uses a K3-256K-dominant / ~84% weekly sample ×5 = 1.451B; pure K2.7 uses 11.9M / 0.76% = 1.568B. Other tiers are scaled by official ratios. Same-name CN/global tiers are merged; fee and unit price use the international USD list ($19/$39/$99), ¥ is the domestic list price. OpenCode Go uses official dollar pools and rates under the standard workload.
FX: 1 USD = 6.7787 CNY (2026-09-04, CFETS central parity, via Xinhua); CNY monthly fees divided by this rate (merged same-name Kimi tiers use the international USD list instead).
FX source: https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html
No.  Plan                                Monthly fee    Served model                Monthly tokens (B)  USD/MTok  Confidence
138  Cursor Pro                          USD 20         Grok 4.6                    0.47                0.04255   medium
139  Command Code GOAT                   USD 10         DeepSeek V4 Pro             0.4698              0.02129   medium
140  OpenCode Go                         USD 10         Hy4 Preview                 0.4436              0.02254   medium
141  OpenCode Go                         USD 10         GLM 5.3 Flash               0.4383              0.02282   medium
142  Ollama Pro                          USD 20         MiniMax M3                  0.4338              0.0461    medium
143  Cursor Pro (Composer Fast)          USD 20         Composer 2.5                0.4288              0.04664   medium
144  GLM Coding Lite (v3 ¥118) Off-peak  CNY 118        GLM 5.3                     0.423               0.04115   high
145  GLM Coding Lite (v2 ¥49) Off-peak   CNY 49         GLM 5.3                     0.423               0.01709   high
146  Command Code GOAT                   USD 10         Step 3.7 Flash              0.4226              0.02366   medium
147  Command Code GOAT                   USD 10         Qwen3.7 Plus                0.3579              0.02794   medium
148  OpenCode Go                         USD 10         DeepSeek V4 Pro             0.3524              0.02838   medium
149  GLM Coding Lite (v3 ¥118) Midpoint  CNY 118        GLM 5.3                     0.317               0.05491   high
150  GLM Coding Lite (v2 ¥49) Midpoint   CNY 49         GLM 5.3                     0.317               0.0228    high
151  OpenCode Go                         USD 10         Kimi K2.6                   0.3151              0.03174   medium
152  Kimi Moderato †                     $19 · CN ¥99   Kimi K2.7 Code              0.314               0.06051   medium
153  Command Code GOAT                   USD 10         Hy4 Preview                 0.2957              0.03382   medium
154  Kimi Moderato †                     $19 · CN ¥99   Kimi K3                     0.29                0.06552   medium
155  Command Code GOAT                   USD 10         Qwen3.6 Plus                0.2779              0.03598   medium
156  OpenCode Go                         USD 10         Kimi K2.7 Code              0.2731              0.03662   medium
157  Command Code GOAT                   USD 10         Kimi K2.7 Code              0.2731              0.03662   medium
158  Ollama Pro                          USD 20         Kimi K2.7 Code              0.2731              0.07323   medium
159  Ollama Pro                          USD 20         GLM 5.1                     0.2635              0.0759    medium
160  Command Code GOAT                   USD 10         DeepSeek V4 Flash Fast      0.2624              0.03811   medium
161  Command Code GOAT                   USD 10         GLM 5.2                     0.2341              0.04272   medium
162  GLM Coding Lite (v3 ¥118) Peak      CNY 118        GLM 5.3                     0.212               0.08211   high
163  GLM Coding Lite (v2 ¥49) Peak       CNY 49         GLM 5.3                     0.212               0.0341    high
164  OpenCode Go                         USD 10         GLM 5.2                     0.2007              0.04983   medium
165  OpenCode Go                         USD 10         GLM 5.1                     0.2007              0.04983   medium
166  Ollama Pro                          USD 20         GLM 5.3                     0.2007              0.09965   medium
167  Ollama Pro                          USD 20         GLM 5.2                     0.2007              0.09965   medium
168  Alibaba Cloud CN Coding Plan Pro    CNY 200        Qwen3.7 Plus                0.198               0.14901   medium
169  Alibaba Cloud Coding Plan Pro       USD 50         Qwen3.7 Plus                0.198               0.25253   low
170  Command Code GOAT                   USD 10         Gemini 3.8 Flash            0.1954              0.05118   medium
171  Command Code GOAT                   USD 10         Gemini 3.7 Flash            0.1954              0.05118   medium
172  Command Code GOAT                   USD 10         Inkling Small               0.1779              0.05621   medium
173  ChatGPT Plus                        USD 20         GPT-6 Astra                 0.159               0.12579   high
174  SuperGrok Lite                      USD 10         Grok 4.6                    0.15                0.06667   low
175  Ollama Pro                          USD 20         Kimi K3                     0.1465              0.13652   medium
176  Command Code GOAT                   USD 10         Nemotron 3 Ultra            0.1446              0.06916   medium
177  Command Code GOAT                   USD 10         Muse Spark 1.3              0.1064              0.09398   medium
178  Command Code GOAT                   USD 10         Muse Spark 1.2              0.1064              0.09398   medium
179  Command Code GOAT                   USD 10         GPT 5.6 Sol                 0.1                 0.1       medium
180  Command Code GOAT                   USD 10         Inkling                     0.0993              0.1007    medium
181  Kimi Andante (CN) †                 CNY 49         Kimi K2.7 Code              0.078               0.09267   medium
182  Command Code GOAT                   USD 10         GLM 5.3                     0.0669              0.14948   medium
183  Command Code GOAT                   USD 10         Qwen3.8 Max                 0.065               0.15385   medium
184  Command Code GOAT                   USD 10         Qwen3.8 Max 0902            0.065               0.15385   medium
185  Command Code GOAT                   USD 10         Qwen3.7 Max                 0.0581              0.17212   medium
186  OpenCode Go                         USD 10         Qwen3.7 Max                 0.0529              0.18904   medium
187  OpenCode Go                         USD 10         GLM 5.3                     0.0502              0.1992    medium
188  Command Code GOAT                   USD 10         Kimi K3                     0.0488              0.20492   medium
189  OpenCode Go                         USD 10         Qwen3.8 Max                 0.0487              0.20534   medium
190  Command Code GOAT                   USD 10         Kimi K2.7 Code HighSpeed    0.0455              0.21978   medium
191  OpenCode Go                         USD 10         Kimi K3                     0.0366              0.27322   medium
192  Command Code GOAT                   USD 10         Grok 4.5                    0.0363              0.27548   medium
193  Command Code GOAT                   USD 10         Grok 4.6                    0.0363              0.27548   medium
194  Command Code GOAT                   USD 10         GLM 5.2 Fast                0.034               0.29412   medium
195  OpenCode Go                         USD 10         Grok 4.6                    0.0272              0.36765   medium
