Effective token price | Subscriptions and APIs compared
Dollar/credit and API rates use 97% cache / 2.5% input / 0.5% output; direct total-token measurements are not normalized
Allowances within a plan are not additive. Claude Max (9/14+): estimated permanent allowances from 2026-09-14, not current boosted limits. Source: adopted.csv.
Color = plan/API provider; confidence [H] high / [M] medium / [L] low; numbers indicate row order, not model capability. Ties listed sequentially.
† Kimi: CNY199 K3 uses a K3-256K-dominant / ~84% weekly sample ×5 = 1.451B; pure K2.7 uses 11.9M / 0.76% = 1.568B. Other tiers are scaled by official ratios. Same-name CN/global tiers are merged; fee and unit price use the international USD list ($19/$39/$99), ¥ is the domestic list price. OpenCode Go uses official dollar pools and rates under the standard workload.
FX: 1 USD = 6.7787 CNY (2026-09-04, CFETS central parity, via Xinhua); CNY monthly fees divided by this rate (merged same-name Kimi tiers use the international USD list instead).
FX source: https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html
No.  Plan                                   Monthly fee     Served model                  Monthly tokens (B)  USD/MTok  Confidence
114  Step Plan Plus (¥99)                   CNY 99          Step 5 Preview                1.1327              0.01289   high
115  MiniMax Token Plan Plus (Global)       USD 22          MiniMax M3                    1.7                 0.01294   high
116  MiniMax Token Plan Plus (Global)       USD 22          MiniMax M2.7                  1.7                 0.01294   medium
117  MiniMax Token Plan Ultra (Global)      USD 132         MiniMax M3                    9.8                 0.01347   high
118  MiMo Token Plan Pro (Night 0.8x)       $50 · CN ¥329   MiMo V2.6 Pro                 3.675               0.01361   medium
119  MiMo Token Plan Pro (Night 0.8x)       $50 · CN ¥329   MiMo V2.5 Pro                 3.675               0.01361   medium
120  GLM Coding Lite (v3 ¥118) Off-peak     CNY 118         GLM 5.3 Flash                 1.249               0.01394   high
121  GLM Coding Pro (v3 ¥538) Midpoint      CNY 538         GLM 5.3 Flash                 5.619               0.01412   high
122  MiMo Token Plan Standard (Night 0.8x)  $16 · CN ¥99    MiMo V2.6 Pro                 1.064               0.01504   medium
123  MiMo Token Plan Standard (Night 0.8x)  $16 · CN ¥99    MiMo V2.5 Pro                 1.064               0.01504   medium
124  MiMo Token Plan Lite (Night 0.8x)      $6 · CN ¥39     MiMo V2.6 Pro                 0.397               0.01511   medium
125  MiMo Token Plan Lite (Night 0.8x)      $6 · CN ¥39     MiMo V2.5 Pro                 0.397               0.01511   medium
126  Command Code GOAT                      USD 10          GPT 5.6 Luna                  0.6579              0.0152    medium
127  Command Code GOAT                      USD 10          MiniMax M3                    0.6555              0.01526   medium
128  ChatGPT Pro 20x                        USD 200         GPT 5.6 Sol                   12.902              0.0155    high
129  DeepSeek V4 Flash API Off-peak         Pay-as-you-go   DeepSeek V4 Flash             -                   0.01559   high
130  MiMo Token Plan Max (Day)              $100 · CN ¥659  MiMo V2.6 Pro                 6.344               0.01576   medium
131  MiMo Token Plan Max (Day)              $100 · CN ¥659  MiMo V2.5 Pro                 6.344               0.01576   medium
132  Ollama Pro                             USD 20          DeepSeek V4 Pro               1.2568              0.01591   medium
133  Ollama Max                             USD 100         DeepSeek V4 Pro               6.284               0.01591   medium
134  GLM Coding Max (v2 ¥469) Midpoint      CNY 469         GLM 5.3                       4.327               0.01599   high
135  Cursor Pro (Standard)                  USD 20          Composer 2.5                  1.2126              0.01649   medium
136  ChatGPT Plus                           USD 20          GPT 5.6 Terra                 1.1915              0.01679   medium
137  ChatGPT Pro 5x                         USD 100         GPT 5.6 Terra                 5.9574              0.01679   medium
138  MiMo Token Plan Pro (Day)              $50 · CN ¥329   MiMo V2.6 Pro                 2.94                0.01701   medium
139  MiMo Token Plan Pro (Day)              $50 · CN ¥329   MiMo V2.5 Pro                 2.94                0.01701   medium
140  GLM Coding Lite (v2 ¥49) Off-peak      CNY 49          GLM 5.3                       0.412               0.01754   high
141  GLM Coding Pro (v2 ¥149) Peak          CNY 149         GLM 5.3                       1.236               0.01778   high
142  GLM Coding Max (v3 ¥1078) Peak         CNY 1078        GLM 5.3 Flash                 8.74                0.0182    high
143  GLM Coding Lite (v3 ¥118) Midpoint     CNY 118         GLM 5.3 Flash                 0.936               0.0186    high
144  MiMo V2.6 Pro API                      Pay-as-you-go   MiMo V2.6 Pro                 -                   0.01872   high
145  MiMo Token Plan Standard (Day)         $16 · CN ¥99    MiMo V2.6 Pro                 0.851               0.0188    medium
146  MiMo Token Plan Standard (Day)         $16 · CN ¥99    MiMo V2.5 Pro                 0.851               0.0188    medium
147  MiMo Token Plan Lite (Day)             $6 · CN ¥39     MiMo V2.6 Pro                 0.317               0.01893   medium
148  MiMo Token Plan Lite (Day)             $6 · CN ¥39     MiMo V2.5 Pro                 0.317               0.01893   medium
149  ChatGPT Plus                           USD 20          GPT-6 Sol                     1.048               0.01908   high
150  DeepSeek V4.1 Flash API Peak           Pay-as-you-go   DeepSeek V4.1 Flash           -                   0.01932   high
151  ChatGPT Pro 20x                        USD 200         GPT 5.5                       9.9821              0.02004   medium
152  OpenCode Go                            USD 10          GPT 5.6 Luna                  0.4934              0.02027   medium
153  Kimi Allegro †                         $99 · CN ¥699   Kimi K2.7 Code                4.704               0.02105   medium
154  GLM Coding Pro (v3 ¥538) Peak          CNY 538         GLM 5.3 Flash                 3.746               0.02119   high
155  Command Code GOAT                      USD 10          MiniMax M2.5                  0.4695              0.0213    medium
156  Kimi Allegro †                         $99 · CN ¥699   Kimi K3                       4.353               0.02274   medium
157  GLM Coding Lite (v2 ¥49) Midpoint      CNY 49          GLM 5.3                       0.309               0.02339   high
158  Command Code GOAT                      USD 10          DeepSeek V4 Pro               0.4189              0.02387   medium
159  Ollama Max                             USD 100         MiniMax M2.7                  4.1841              0.0239    medium
160  Ollama Pro                             USD 20          MiniMax M2.7                  0.8368              0.0239    medium
161  GLM Coding Max (v2 ¥469) Peak          CNY 469         GLM 5.3                       2.884               0.02399   high
162  OpenCode Go                            USD 10          Hy4 Preview                   0.4049              0.0247    medium
163  Command Code GOAT                      USD 10          Step 3.7 Flash                0.4036              0.02478   medium
164  Kimi Allegretto †                      $39 · CN ¥199   Kimi K2.7 Code                1.568               0.02487   medium
165  Step Plan Mini (¥49)                   CNY 49          Step 5 Preview                0.2832              0.02552   medium
166  Cursor Ultra                           USD 200         Grok 4.6                      7.737               0.02585   medium
167  Cursor Ultra                           USD 200         Grok 4.5                      7.737               0.02585   medium
168  Kimi Allegretto †                      $39 · CN ¥199   Kimi K3                       1.451               0.02688   medium
169  GLM Coding Max (v3 ¥1078) Off-peak     CNY 1078        GLM 5.3                       5.769               0.02757   high
170  GLM Coding Lite (v3 ¥118) Peak         CNY 118         GLM 5.3 Flash                 0.624               0.0279    high
171  Command Code GOAT                      USD 10          Qwen3.7 Plus                  0.3452              0.02897   medium
172  Cursor Ultra (Composer Fast)           USD 200         Composer 2.5                  6.8841              0.02905   medium
173  Cursor Pro+                            USD 60          Grok 4.6                      2.0632              0.02908   medium
174  Devin Max                              USD 200         Claude Opus 5.5               6.69                0.0299    medium
175  GPT-5.6 Luna API                       Pay-as-you-go   GPT 5.6 Luna                  -                   0.0304    high
176  DeepSeek V4 Flash API Peak             Pay-as-you-go   DeepSeek V4 Flash             -                   0.03118   high
177  OpenCode Go                            USD 10          DeepSeek V4 Pro               0.3142              0.03183   medium
178  GLM Coding Pro (v3 ¥538) Off-peak      CNY 538         GLM 5.3                       2.472               0.03211   high
179  ChatGPT Plus                           USD 20          GPT 5.6 Sol                   0.616               0.03247   medium
180  ChatGPT Pro 5x                         USD 100         GPT 5.6 Sol                   3.08                0.03247   medium
181  Cursor Pro+ (Composer Fast)            USD 60          Composer 2.5                  1.8358              0.03268   low
182  OpenCode Go                            USD 10          Kimi K2.6                     0.3016              0.03316   medium
183  GLM Coding Lite (v2 ¥49) Peak          CNY 49          GLM 5.3                       0.206               0.03509   high
184  Command Code GOAT                      USD 10          MiniMax M2.7                  0.2789              0.03586   medium
185  GLM Coding Max (v3 ¥1078) Midpoint     CNY 1078        GLM 5.3                       4.327               0.03675   high
186  Command Code GOAT                      USD 10          Hy4 Preview                   0.2699              0.03705   medium
187  Command Code GOAT                      USD 10          Qwen3.6 Plus                  0.2651              0.03772   medium
188  OpenCode Go                            USD 10          Kimi K2.7 Code                0.2631              0.03801   medium
189  Command Code GOAT                      USD 10          Kimi K2.7 Code                0.2631              0.03801   medium
190  Command Code GOAT                      USD 10          DeepSeek V4 Flash Fast        0.2574              0.03885   medium
191  ChatGPT Plus                           USD 20          GPT 5.5                       0.4766              0.04196   medium
192  ChatGPT Pro 5x                         USD 100         GPT 5.5                       2.3829              0.04197   medium
193  GLM Coding Lite (v3 ¥118) Off-peak     CNY 118         GLM 5.3                       0.412               0.04225   high
194  Cursor Pro                             USD 20          Grok 4.6                      0.47                0.04255   medium
195  GLM Coding Pro (v3 ¥538) Midpoint      CNY 538         GLM 5.3                       1.854               0.04281   high
196  Command Code GOAT                      USD 10          Step 5 Preview                0.2299              0.0435    medium
197  Command Code GOAT                      USD 10          GLM 5.3 FlashX                0.2266              0.04413   medium
198  Command Code GOAT                      USD 10          GLM 5.2                       0.2264              0.04417   medium
199  DeepSeek V4 Pro API Off-peak           Pay-as-you-go   DeepSeek V4 Pro               -                   0.04774   high
200  Ollama Max                             USD 100         MiniMax M3                    2.0921              0.0478    medium
201  Ollama Pro                             USD 20          MiniMax M3                    0.4184              0.0478    medium
202  Cursor Pro (Composer Fast)             USD 20          Composer 2.5                  0.4182              0.04782   medium
203  SuperGrok Plus                         USD 100         Grok 4.6                      2.04                0.04902   medium
204  SuperGrok Plus                         USD 100         Grok 4.7                      1.99                0.05025   medium
205  OpenCode Go                            USD 10          GLM 5.2                       0.194               0.05155   medium
206  OpenCode Go                            USD 10          GLM 5.1                       0.194               0.05155   medium
207  ChatGPT Pro 20x                        USD 200         GPT-6 Astra                   3.812               0.05247   medium
208  Command Code GOAT                      USD 10          Gemini 3.8 Flash              0.1814              0.05513   medium
209  Command Code GOAT                      USD 10          Gemini 3.7 Flash              0.1814              0.05513   medium
210  GLM Coding Max (v3 ¥1078) Peak         CNY 1078        GLM 5.3                       2.884               0.05514   high
211  GLM Coding Lite (v3 ¥118) Midpoint     CNY 118         GLM 5.3                       0.309               0.05633   high
212  Command Code GOAT                      USD 10          Inkling Small                 0.1732              0.05774   medium
213  SuperGrok                              USD 30          Grok 4.6                      0.509               0.05894   high
214  SuperGrok Heavy                        USD 300         Grok 4.6                      5.09                0.05894   medium
215  SuperGrok Heavy                        USD 300         Grok 4.5                      5.09                0.05894   medium
216  SuperGrok                              USD 30          Grok 4.5                      0.509               0.05894   medium
217  SuperGrok                              USD 30          Grok 4.7                      0.497               0.06036   medium
218  SuperGrok Heavy                        USD 300         Grok 4.7                      4.97                0.06036   medium
219  Kimi Moderato †                        $19 · CN ¥99    Kimi K2.7 Code                0.314               0.06051   medium
220  Command Code GOAT                      USD 10          Kimi K2.5                     0.1575              0.06349   medium
221  GLM Coding Pro (v3 ¥538) Peak          CNY 538         GLM 5.3                       1.236               0.06421   high
222  Cursor Ultra (Fast)                    USD 200         Grok 4.6                      3.074               0.06506   high
223  Kimi Moderato †                        $19 · CN ¥99    Kimi K3                       0.29                0.06552   medium
224  SuperGrok Lite                         USD 10          Grok 4.6                      0.15                0.06667   low
225  Command Code GOAT                      USD 10          Nemotron 3 Ultra              0.1395              0.07168   medium
226  Ollama Pro                             USD 20          Kimi K2.7 Code                0.2631              0.07602   medium
227  Ollama Max                             USD 100         Kimi K2.7 Code                1.3155              0.07602   medium
228  Ollama Max                             USD 100         GLM 5.1                       1.2766              0.07833   medium
229  Ollama Pro                             USD 20          GLM 5.1                       0.2553              0.07834   medium
230  GLM Coding Lite (v3 ¥118) Peak         CNY 118         GLM 5.3                       0.206               0.0845    high
231  Kimi Andante (CN) (v1) †               CNY 49          Kimi K2.7 Code                0.078               0.09267   medium
232  DeepSeek V4 Pro API Peak               Pay-as-you-go   DeepSeek V4 Pro               -                   0.09548   high
233  Command Code GOAT                      USD 10          Muse Spark 1.3                0.101               0.09901   medium
234  Command Code GOAT                      USD 10          Muse Spark 1.2                0.101               0.09901   medium
235  Command Code GOAT                      USD 10          Kimi K2.6                     0.1005              0.0995    medium
236  Ollama Max                             USD 100         GLM 5.3                       0.9702              0.10307   medium
237  Ollama Max                             USD 100         GLM 5.2                       0.9702              0.10307   medium
238  Ollama Pro                             USD 20          GLM 5.3                       0.194               0.10309   medium
239  Ollama Pro                             USD 20          GLM 5.2                       0.194               0.10309   medium
240  Command Code GOAT                      USD 10          Inkling                       0.0952              0.10504   medium
241  Claude Max 5x (9/14+)                  USD 100         Claude Fable 5                0.9235              0.10828   low
242  Command Code GOAT                      USD 10          GPT 5.6 Sol                   0.0921              0.10858   medium
243  ChatGPT Pro 5x                         USD 100         GPT-6 Astra                   0.91                0.10989   low
244  Claude Max 20x (9/14+)                 USD 200         Claude Fable 5.1              1.728               0.11574   medium
245  Claude Max 5x (9/14+)                  USD 100         Claude Fable 5.1              0.8639              0.11575   low
246  Command Code GOAT                      USD 10          GLM 5                         0.0851              0.11751   medium
247  ChatGPT Plus                           USD 20          GPT-6 Astra                   0.159               0.12579   high
248  Ollama Pro                             USD 20          Kimi K3                       0.1361              0.14695   medium
249  Ollama Max                             USD 100         Kimi K3                       0.6803              0.14699   medium
250  Alibaba Cloud CN Coding Plan Pro       CNY 200         Qwen3.7 Plus                  0.198               0.14901   medium
251  Command Code GOAT                      USD 10          GLM 5.3                       0.0647              0.15456   medium
252  Command Code GOAT                      USD 10          GLM 5.1                       0.0647              0.15456   medium
253  Command Code GOAT                      USD 10          Qwen3.8 Max                   0.062               0.16129   medium
254  Command Code GOAT                      USD 10          Qwen3.8 Max 0902              0.062               0.16129   medium
255  Command Code GOAT                      USD 10          Qwen3.6 Max Preview           0.0618              0.16181   medium
256  Claude Max 20x (9/14+)                 USD 200         Claude Fable 5                1.2077              0.1656    low
257  Command Code GOAT                      USD 10          Qwen3.7 Max                   0.0564              0.1773    medium
258  Devin Max                              USD 200         GPT-6 Astra                   1.115               0.17937   medium
259  MiMo V2.6 Pro UltraSpeed API           Pay-as-you-go   MiMo V2.6 Pro UltraSpeed      -                   0.18717   high
260  Command Code GOAT                      USD 10          MiMo V2.6 Pro UltraSpeed      0.0534              0.18727   medium
261  OpenCode Go                            USD 10          Qwen3.7 Max                   0.0513              0.19493   medium
262  OpenCode Go                            USD 10          GLM 5.3                       0.0485              0.20619   medium
263  OpenCode Go                            USD 10          Qwen3.8 Max                   0.0465              0.21505   medium
264  Command Code GOAT                      USD 10          Kimi K3                       0.0454              0.22026   medium
265  Command Code GOAT                      USD 10          Kimi K2.7 Code HighSpeed      0.0439              0.22779   medium
266  Alibaba Cloud Coding Plan Pro          USD 50          Qwen3.7 Plus                  0.198               0.25253   low
267  Command Code GOAT                      USD 10          Grok 4.7                      0.0354              0.28249   medium
268  Command Code GOAT                      USD 10          Grok 4.5                      0.0354              0.28249   medium
269  Command Code GOAT                      USD 10          Grok 4.6                      0.0354              0.28249   medium
270  OpenCode Go                            USD 10          Kimi K3                       0.034               0.29412   medium
271  GPT-5.6 Terra API                      Pay-as-you-go   GPT 5.6 Terra                 -                   0.304     high
272  Command Code GOAT                      USD 10          GLM 5.2 Fast                  0.0327              0.30581   medium
273  Claude Sonnet 5 API                    Pay-as-you-go   Claude Sonnet 5               -                   0.3065    high
274  OpenCode Go                            USD 10          Grok 4.6                      0.0265              0.37736   medium
275  OpenCode Go                            USD 10          Grok 4.7                      0.0265              0.37736   medium
276  Claude Opus 5.5 API                    Pay-as-you-go   Claude Opus 5.5               -                   0.419     high
277  Grok 4.6 API (<200k)                   Pay-as-you-go   Grok 4.6                      -                   0.565     high
278  Grok 4.7 API (<200k)                   Pay-as-you-go   Grok 4.7                      -                   0.565     high
279  GPT-5.6 Sol API                        Pay-as-you-go   GPT 5.6 Sol                   -                   0.588     high
280  Claude Opus 5 API                      Pay-as-you-go   Claude Opus 5                 -                   0.76625   high
281  Claude Fable 5.1 API                   Pay-as-you-go   Claude Fable 5.1              -                   0.805     high
282  Claude Fable 5 API                     Pay-as-you-go   Claude Fable 5                -                   1.5325    high
